artes,Ana Gil,[Des]encontros [geo]métricos,27 setembro,28 outubro 2023,A Pequena Galeria,https://www.agendalx.pt/events/event/ana-gil/
artes,Geppetto’s New Generations,,12 outubro,28 outubro 2023,Coup Gallery,https://www.agendalx.pt/events/event/geppettos-new-generations/
artes,Isabel Reina,Sombras coloridas,11 outubro,3 novembro 2023,Centro de Documentação do Edifício Central do Município,https://www.agendalx.pt/events/event/isabel-reina/
artes,Pedro Chorão,1988,11 outubro,31 outubro 2023,Galeria Sá da Costa,https://www.agendalx.pt/events/event/pedro-chorao-5/
artes,Altina Martins,Habitat e a poética dos 5 sentidos,11 outubro,5 novembro 2023,Museu Nacional de História Natural e da Ciência,https://www.agendalx.pt/events/event/altina-martins/
cinema,As estreias da semana,Nos cinemas a partir de 19 de outubro,19 outubro,25 outubro 2023,N/A,https://www.agendalx.pt/events/event/as-estreias-da-semana-156/
artes,AkaCorleone,Illusion of clay,12 outubro 2023,12 janeiro 2024,Tivoli Avenida Liberdade,https://www.agendalx.pt/events/event/akacorleone-3/
artes,Paul Mathieu,Introspecções,3 outubro,27 outubro 2023,MAC_Movimento Arte Contemporânea,https://www.agendalx.pt/events/event/paul-mathieu-5/
artes,We Loved Each Other For One Month,,24,24 de October de 2023,Galeria Francisco Fino,https://www.agendalx.pt/events/event/we-loved-each-other-for-one-month/
artes,Bordalo em Trânsito,Exposição de longa duração,9 julho 2021,26 novembro 2023,Museu Bordalo Pinheiro,https://www.agendalx.pt/events/event/bordalo-em-transito/
artes,Os Tesouros Nacionais da CMAG e o Gosto do Colecionador,,29 agosto 2022,29 outubro 2023,Casa-Museu Dr. Anastácio Gonçalves,https://www.agendalx.pt/events/event/os-tesouros-nacionais-da-cmag/
artes,Odete,Artifício,10 outubro,24 dezembro 2023,Galeria da Boavista,https://www.agendalx.pt/events/event/odete/
artes,Quadrum 50 Anos -  uma fogueira cultural,,16 setembro 2023,21 janeiro 2024,Galeria Quadrum,https://www.agendalx.pt/events/event/quadrum-50-anos-uma-fogueira-cultural/
teatro,Vale Night,,11 outubro,26 outubro 2023,Samambaia,https://www.agendalx.pt/events/event/vale-night/
artes,Primeira Pessoa,Centenário do nascimento de Mário Cesariny,09,09 de August de 2023,Casa da Liberdade - Mário Cesariny,https://www.agendalx.pt/events/event/primeira-pessoa/
artes,Alejandro Cesarco,Other recent examples,14,14 de October de 2023,Lumiar Cité,https://www.agendalx.pt/events/event/alejandro-cesarco/
artes,Joana Vasconcelos,Plug-in,29 setembro 2023,25 março 2024,MAAT - Museu de Arte -  Arquitetura e Tecnologia,https://www.agendalx.pt/events/event/joana-vasconcelos-3/
artes,Introdução à História da Joalharia,,25,25 de October de 2023,Museu do Tesouro Real,https://www.agendalx.pt/events/event/introducao-a-historia-da-joalharia/
cinema,Clube de cinema da Fábrica do Terror,Curtas portuguesas,25,25 de October de 2023,Sociedade de Instrução Guilherme Cossoul,https://www.agendalx.pt/events/event/clube-de-cinema-da-fabrica-do-terror/
música,Music Together®,Música para bebés,11 outubro,20 dezembro 2023,Museu Nacional de História Natural e da Ciência,https://www.agendalx.pt/events/event/music-together/
artes,Tão Úteis como os Originaes,,24 maio,29 outubro 2023,Museu Nacional de Arte Antiga,https://www.agendalx.pt/events/event/tao-uteis-como-os-originaes/
artes,Arte e Natureza,Oficina p/ crianças,4 outubro,25 outubro 2023,Casa do Jardim da Estrela - Um Teatro em Cada Bairro,https://www.agendalx.pt/events/event/arte-e-natureza-2/
artes,A Outra Vida das Marionetas,Coleções das reservas,28 julho,29 outubro 2023,Museu da Marioneta,https://www.agendalx.pt/events/event/a-outra-vida-das-marionetas/
artes,Emoções à Mesa,Da paixão às saudades,24 fevereiro 2022,31 dezembro 2023,Fundação Calouste Gulbenkian,https://www.agendalx.pt/events/event/emocoes-a-mesa-da-paixao-as-saudades/
artes,José Manuel Rodrigues,Natureza morta,15 setembro,29 outubro 2023,Panteão Nacional,https://www.agendalx.pt/events/event/jose-manuel-rodrigues/
artes,A Cadeirinha: Um Meio de Transporte Urbano e Privado,,12 julho,5 novembro 2023,Museu Nacional dos Coches,https://www.agendalx.pt/events/event/a-cadeirinha-um-meio-de-transporte-urbano-e-privado/
cinema,Doclisboa'23,21.º Festival Internacional de Cinema,19,19 de October de 2023,vários locais,https://www.agendalx.pt/events/event/doclisboa23/
artes,Tara e Sylvain Bongard,Frágil,6 setembro 2023,4 janeiro 2024,Jardim Botânico de Lisboa,https://www.agendalx.pt/events/event/tara-e-sylvain-bongard/
artes,Urban [R]Evolution,,21 junho,3 dezembro 2023,Cordoaria Nacional,https://www.agendalx.pt/events/event/urbanrevolution/
artes,Unidigrazz,Distante,15 setembro,28 outubro 2023,Galeria Underdogs,https://www.agendalx.pt/events/event/unidigrazz/
artes,A Mão que Vê -  e Manda!,Pomar -  oito décadas,27,27 de September de 2023,São Roque Antiguidades e Galeria de Arte,https://www.agendalx.pt/events/event/a-mao-e-que-ve-e-manda/
música,Música de Câmara,Foyer do TNSC,25 outubro 2023,25 outubro 2023,Teatro Nacional de São Carlos,https://www.agendalx.pt/events/event/musica-de-camara/
artes,Território #4: FAZER,Ciclo Território,25 setembro 2023,5 janeiro 2024,Fidelidade Arte,https://www.agendalx.pt/events/event/fazer/
teatro,José -  o Pai,Elmano Sancho,14 setembro,29 outubro 2023,Teatro da Trindade INATEL,https://www.agendalx.pt/events/event/jose-o-pai/
teatro,Um Homem Inofensivo,Luís António Coelho,15 setembro,26 novembro 2023,Teatro Aberto,https://www.agendalx.pt/events/event/um-homem-inofensivo/
teatro,Europa,David Greig/ Artistas Unidos,18,18 de October de 2023,São Luiz Teatro Municipal,https://www.agendalx.pt/events/event/europa/
teatro,Vermelho é a cor do meu luto,Carla Bolito,25,25 de October de 2023,Sistema SMOP,https://www.agendalx.pt/events/event/vermelho-e-a-cor-do-meu-luto/
teatro,Sonho de uma Noite de Verão,W.Shakespeare/ D.Infante,21,21 de September de 2023,Teatro da Trindade INATEL,https://www.agendalx.pt/events/event/sonho-de-uma-noite-de-verao-5/
teatro,Marilyn -  o musical,Teatro Àpriori,13 outubro,29 outubro 2023,Teatro Armando Cortez,https://www.agendalx.pt/events/event/marilyn-o-musical/
teatro,PLIM 'Tás Ótima!,Salvador Martinha,23,23 de October de 2023,Coliseu dos Recreios,https://www.agendalx.pt/events/event/plim-tas-otima/
música,Drab Majesty,An Object In Motion,25 outubro 2023,25 outubro 2023,Musicbox,https://www.agendalx.pt/events/event/drab-majesty/
teatro,Natálias,A partir da vida e obra de Natália Correia,11 outubro,2 novembro 2023,Boutique da Cultura - Um Teatro em Cada Bairro,https://www.agendalx.pt/events/event/natalias/
artes,O Castelo Surrealista de Mário Cesariny,,05,05 de October de 2023,MAAT - Museu de Arte -  Arquitetura e Tecnologia,https://www.agendalx.pt/events/event/o-castelo-surrealista-de-mario-cesariny/
teatro,A Morte do Corvo,Nova temporada,13 setembro,29 outubro 2023,Hospital Militar da Estrela,https://www.agendalx.pt/events/event/a-morte-do-corvo-2/
artes,Fantasma Gaiata,A coleção da CGD,14 outubro 2023,28 janeiro 2024,Culturgest,https://www.agendalx.pt/events/event/fantasma-gaiata/
artes,48 Artistas -  48 anos de Liberdade,,10 junho 2022,10 junho 2024,MAAT - Museu de Arte -  Arquitetura e Tecnologia,https://www.agendalx.pt/events/event/48-artistas-48-anos-de-liberdade/
artes -  dança -  literatura -  teatro,Cucu! 2023,Festival de Artes para a 1.ª Infância,15,15 de October de 2023,Casa do Coreto,https://www.agendalx.pt/events/event/cucu-espetaculos-para-bebes-3/
artes -  dança -  literatura -  teatro,Cucu! 2023,Festival de Artes para a 1.ª Infância,15,15 de October de 2023,Casa do Coreto,https://www.agendalx.pt/events/event/cucu-espetaculos-para-bebes-3/
artes -  dança -  literatura -  teatro,Cucu! 2023,Festival de Artes para a 1.ª Infância,15,15 de October de 2023,Casa do Coreto,https://www.agendalx.pt/events/event/cucu-espetaculos-para-bebes-3/
artes,Impulso Fotográfico: (Des)arrumar o Arquivo Colonial,,21 dezembro 2022,31 dezembro 2023,Museu Nacional de História Natural e da Ciência,https://www.agendalx.pt/events/event/impulso-fotografico-desarrumar-o-arquivo-colonial/
artes,Vieira da Silva,Pintura em movimento,24 junho 2023,31 dezembro 2025,Museu Arpad Szenes-Vieira da Silva,https://www.agendalx.pt/events/event/vieira-da-silva-2/
artes -  visitas guiadas,MURO 2023,Festival de Arte Urbana de Lisboa,20,20 de October de 2023,vários locais,https://www.agendalx.pt/events/event/muro-2023/
artes,Miguel Angelo Rocha,Quarto de flores,21 setembro,21 dezembro 2023,Cabana Mad,https://www.agendalx.pt/events/event/miguel-angelo-rocha-2/
artes,Eduarda Dionísio,Materiais do Arquivo Mário Dionísio - Maria Letícia,30 setembro,31 dezembro 2023,Casa da Achada – Centro Mário Dionísio,https://www.agendalx.pt/events/event/eduarda-dionisio-materiais-de-arquivo/
artes,Evolving Landscapes,,22 setembro,24 novembro 2023,Artemis Gallery,https://www.agendalx.pt/events/event/evolving-landscapes/
cinema,REPEAT - Alvalade Cineclube,,5 outubro,26 outubro 2023,Cinema Fernando Lopes,https://www.agendalx.pt/events/event/repeat-alvalade-cineclube/
teatro,Branca de Neve e o Espelho do Mundo,Caixa de Cena,21 outubro,21 dezembro 2023,Parque Mayer,https://www.agendalx.pt/events/event/branca-de-neve-e-o-espelho-do-mundo/
música,Há Música ao Fundo do Túnel,Saúde mental toca a todos,26,26 de October de 2023,vários locais,https://www.agendalx.pt/events/event/ha-musica-ao-fundo-do-tunel-3/
cinema,Cineclube MUTIM,"Vai e Vem" + "Pasajeras",26 outubro,30 novembro 2023,Goethe-Institut,https://www.agendalx.pt/events/event/cineclube-mutim/
